,title,tconst
403,El Mariachi,tt0104815
404,Showdown in Little Tokyo,tt0102915
405,Marked for Death,tt0100114
406,Stone Cold,tt0102984
407,Duchess,tt18300732
408,Starcrash,tt0079946
409,Samurai Cop,tt0130236
410,Vendetta,tt14849038
411,Nemesis,tt0107668
412,Ruthless,tt14670094
413,Remo Williams: The Adventure Begins,tt0089901
414,Missing in Action,tt0087727
415,Cosmic Sin,tt11762434
416,Acts of Vengeance,tt6288694
417,Miami Connection,tt0092549
418,Doom: Annihilation,tt8328716
419,Invasion U.S.A.,tt0089348
420,To the Limit,tt0114683
421,Surf Nazis Must Die,tt0094077
422,Wanted: Dead or Alive,tt0094293
423,Dolemite,tt0072895
424,American Siege,tt13496236
425,Stowaway,tt8889818
426,Enter the Ninja,tt0082332
427,Prayer of the Rollerboys,tt0102703
428,Gymkata,tt0089243
429,Vanquish,tt5932368
430,The Legend of the 7 Golden Vampires,tt0070297
431,Bucktown,tt0072747
432,Six-String Samurai,tt0118736
433,Double Trouble,tt0104135
434,Laser Mission,tt0099978
435,Alley Cat,tt0083541
436,10 Minutes Gone,tt8809652
437,City Limits,tt0088925
438,Five Elements Ninjas,tt0084921
439,Hard Kill,tt11656172
440,Undefeatable,tt0111552
441,The Keeper,tt1296869
442,FDR: American Badass!,tt1811315
443,Master of the Flying Guillotine,tt0072913
444,Blastfighter,tt0088818
445,Black Samurai,tt0074213
446,The Other Side,tt0393567
447,The Last House on the Left,tt0844708
448,The Texas Chain Saw Massacre,tt0072271
449,Tremors,tt0100814
450,The Blair Witch Project,tt0185937
451,The Evil Dead,tt0083907
452,Halloween,tt0077651
453,Friday the 13th,tt0080761
454,Dead Alive,tt0103873
455,Sleepaway Camp,tt0086320
456,Piranha,tt0078087
457,House,tt0091223
458,Sting,tt20112746
459,The Last House on the Left,tt0068833
460,Paranormal Activity,tt1179904
461,The Slumber Party Massacre,tt0084695
462,The Terror Within,tt0096246
463,Scream Bloody Murder,tt0070654
464,Friday the 13th Part 2,tt0082418
465,The Hills Have Eyes,tt0077681
466,The Burning,tt0082118
467,The Sand,tt3399484
468,The Last Days on Mars,tt1709143
469,Night of the Creeps,tt0091630
470,"Silent Night, Deadly Night",tt0088117
471,Open Water,tt0374102
472,Life After Beth,tt2581244
473,Eaten Alive,tt0074455
474,Madman,tt0082696
475,Happy Birthday to Me,tt0082498
476,Ghoulies,tt0089200
477,The Toxic Avenger Part II,tt0098503
478,Antropophagus,tt0082479
479,The Mutilator,tt0124014
480,The Island of Dr. Moreau,tt0076210
481,The Final Terror,tt0082379
482,Hell of the Living Dead,tt0082559
483,Slaughterhouse Rock,tt0096117
484,Bloody Birthday,tt0082084
485,Citizen Toxie: The Toxic Avenger IV,tt0212879
486,Mirror Mirror,tt0100156
487,White Dog,tt0084899
488,Saturday the 14th,tt0083033
489,Rats: Night of Terror,tt0086176
490,Mosquito,tt0113858
491,Creepozoids,tt0092795
492,Nightbeast,tt0086013
493,Terror Firmer,tt0169299
494,Ben,tt0068264
495,Cannibals in the Streets,tt0080379
496,The Hills Have Eyes Part II,tt0089274
497,Blood Rage,tt0085253
498,The Wizard of Gore,tt0066578
499,Carnosaur,tt0106521
500,Mutant,tt0087796
501,Dark Ride,tt0433963
502,Who's Watching Oliver,tt6158692
503,The Haunting of Molly Hartley,tt1045655
504,Contamination,tt0082000
505,Ghoulies II,tt0093091
506,Prevenge,tt5154288
507,The Dead Pit,tt0122037
508,Spiders,tt1659216
509,Snow Falls,tt11569658
510,Satanic Hispanics,tt22085392
511,Warlock: The Armageddon,tt0108517
512,Final Exam,tt0082378
513,Bigfoot,tt0065470
514,The Last Broadcast,tt0122143
515,Frightmare,tt0083973
