from_tconst,from_title,from_year,from_runtimeMinutes,from_averageRating,from_numVotes,from_budget,from_revenue
tt0080319,9 to 5,1980.0,109,6.9,41199,10000000,103300000
tt0080339,Airplane!,1980.0,88,7.7,271669,3500000,83453539
tt0080360,Altered States,1980.0,102,6.9,40006,15000000,19853892
tt0080365,American Gigolo,1980.0,117,6.3,30800,5000000,52700000
tt0080421,Battle Beyond the Stars,1980.0,104,5.5,10775,2000000,11000000
tt0080437,The Big Red One,1980.0,113,7.1,22069,4500000,7206220
tt0080453,The Blue Lagoon,1980.0,104,5.8,79834,4500000,58853106
tt0080455,The Blues Brothers,1980.0,133,7.9,220997,27000000,115229890
tt0080465,Borderline,1980.0,97,6.0,2540,5800000,2300000
tt0080472,Bronco Billy,1980.0,116,6.2,13182,6500000,24300000
tt0080487,Caddyshack,1980.0,98,7.2,130551,6000000,39846344
tt0080569,Cruising,1980.0,102,6.5,29925,11000000,19814523
tt0080661,Dressed to Kill,1980.0,104,7.1,52158,6500000,31899000
tt0080678,The Elephant Man,1980.0,124,8.2,270902,5000000,26000000
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980.0,124,8.7,1430598,18000000,538400000
tt0080736,The Final Countdown,1980.0,103,6.7,28287,12000000,16647800
tt0080745,Flash Gordon,1980.0,111,6.5,63643,35000000,27100000
tt0080749,The Fog,1980.0,89,6.8,87037,1000000,21448830
tt0080761,Friday the 13th,1980.0,95,6.4,165410,550000,59754601
tt0080771,Galaxina,1980.0,95,3.7,3567,5500000,4865000
tt0080801,The Gods Must Be Crazy,1980.0,109,7.3,61068,5000000,200000000
tt0080850,He Knows You're Alone,1980.0,94,5.0,4409,300000,4900000
tt0080855,Heaven's Gate,1980.0,219,6.7,18167,44000000,3484331
tt0080934,The Island,1980.0,114,5.3,4913,22000000,15700000
tt0081059,Lion of the Desert,1980.0,173,8.2,18108,35000000,1502136
tt0081114,Maniac,1980.0,87,6.3,21274,350000,10000000
tt0081184,Motel Hell,1980.0,101,6.0,14246,3000000,6342668
tt0081259,The Octagon,1980.0,103,5.1,6496,4000000,18971000
tt0081283,Ordinary People,1980.0,124,7.7,58940,6000000,54766923
