title,year,subgenres
Ben-Hur,2016.0,"['action-epic', 'epic-drama', 'epic-romance', 'sword-and-sandal-action']"
After Earth,2013.0,"['action-epic', 'epic-adventure', 'quest-adventure', 'space-sci-fi', 'survival-adventure']"
Godzilla,1954.0,"['action-epic', 'dinosaur-adventure', 'disaster-action', 'epic-adventure', 'epic-drama', 'epic-sci-fi', 'giant-monster-sci-fi', 'monster-horror', 'political-drama', 'supernatural-horror', 'tragedy-drama']"
Titan A.E.,2000.0,"['action-epic', 'alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'dystopian-sci-fi', 'epic-sci-fi', 'space-sci-fi']"
The Message,1976.0,"['action-epic', 'action-epic', 'epic-history', 'epic-history', 'sword-and-sandal-action']"
13 Assassins,2010.0,"['action-epic', 'epic-drama', 'samurai-action']"
The Princess,2022.0,"['action-epic', 'dark-comedy', 'period-drama']"
Hamburger Hill,1987.0,"['action-epic', 'tragedy-drama']"
The Transformers: The Movie,1986.0,"['action-epic', 'alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'car-action', 'epic-adventure', 'epic-sci-fi', 'space-sci-fi']"
Sabotage,2014.0,"['action-epic', 'conspiracy-thriller', 'cop-drama', 'drug-crime', 'heist-crime']"
In Harm's Way,1965.0,"['action-epic', 'epic-war']"
Athena,2022.0,"['action-epic', 'epic-drama', 'psychological-thriller']"
Shershaah,2021.0,"['action-epic', 'docudrama', 'tragedy-drama']"
Ultraman: Rising,2024.0,"['action-epic', 'cg-animation', 'giant-monster-sci-fi', 'superhero-action']"
The Hidden Fortress,1958.0,"['action-epic', 'epic-adventure', 'quest-adventure']"
The Wind and the Lion,1975.0,"['action-epic', 'desert-adventure', 'epic-adventure', 'epic-drama', 'one-person-army-action', 'period-drama', 'political-drama', 'swashbuckler-adventure']"
Outlaw Johnny Black,2023.0,"['action-epic', 'epic-western']"
Captain Blood,1935.0,"['action-epic', 'epic-adventure', 'epic-history', 'epic-romance', 'sea-adventure', 'swashbuckler-adventure']"
The Big 4,2022.0,"['action-epic', 'dark-comedy', 'gangster-crime', 'martial-arts-action']"
Carter,2022.0,['action-epic']
Godzilla: Final Wars,2004.0,"['action-epic', 'alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'dark-fantasy', 'dinosaur-adventure', 'giant-monster-sci-fi', 'globetrotting-adventure', 'martial-arts-action', 'supernatural-fantasy', 'urban-adventure']"
Godzilla vs. Biollante,1989.0,"['action-epic', 'dark-fantasy', 'dinosaur-adventure', 'disaster-action', 'epic-drama', 'giant-monster-sci-fi', 'monster-horror', 'supernatural-fantasy', 'supernatural-horror', 'tragedy-drama']"
Intolerance,1916.0,"['action-epic', 'epic-drama', 'epic-history']"
Kingdom,2019.0,"['action-epic', 'epic-history']"
Saaho,2019.0,"['action-epic', 'one-person-army-action']"
Steamboy,2004.0,"['action-epic', 'epic-sci-fi', 'steampunk-sci-fi']"
Kingdom 2: Far and Away,2022.0,"['action-epic', 'epic-history', 'epic-war']"
Xtreme,2021.0,"['action-epic', 'dark-comedy']"
