from_tconst,from_title,from_year,from_runtimeMinutes,from_averageRating,from_numVotes,from_budget,from_revenue,from_budget_formatted,from_revenue_formatted,budget_2023,revenue_2023,budget_2023_formatted,revenue_2023_formatted
tt0076070,The Gauntlet,1977,109,6.4,26068,5500000,26400000,"5,500,000","26,400,000",27654471.947194718,132741465.34653465,"27,654,471","132,741,465"
tt0076138,Heroes,1977,112,6.1,2213,3200000,33500073,"3,200,000","33,500,073",16089874.587458745,168441241.63772276,"16,089,874","168,441,241"
tt0076141,High Anxiety,1977,94,6.6,24525,4015000,31063038,"4,015,000","31,063,038",20187764.521452144,156187620.53920794,"20,187,764","156,187,620"
tt0076299,The Last Wave,1977,106,6.9,11538,810000,1300000,"810,000","1,300,000",4072749.504950495,6536511.5511551155,"4,072,749","6,536,511"
tt0076636,Rollercoaster,1977,119,6.3,7182,9000000,8200000,"9,000,000","8,200,000",45252772.27722772,41230303.63036303,"45,252,772","41,230,303"
tt0076716,Sinbad and the Eye of the Tiger,1977,113,6.4,9045,3500000,16000000,"3,500,000","16,000,000",17598300.330033004,80449372.93729372,"17,598,300","80,449,372"
tt0076729,Smokey and the Bandit,1977,96,7.0,59300,4300000,126700000,"4,300,000","126,700,000",21620768.97689769,637058471.9471947,"21,620,768","637,058,471"
tt0076740,Sorcerer,1977,121,7.7,30464,22000000,9000000,"22,000,000","9,000,000",110617887.78877887,45252772.27722772,"110,617,887","45,252,772"
tt0076752,The Spy Who Loved Me,1977,125,7.0,119748,13500000,185438673,"13,500,000","185,438,673",67879158.41584158,932401560.0733663,"67,879,158","932,401,560"
tt0076759,Star Wars: Episode IV - A New Hope,1977,121,8.6,1497992,11000000,775398007,"11,000,000","775,398,007",55308943.894389436,3898767714.998581,"55,308,943","3,898,767,714"
tt0076929,Wizards,1977,80,6.3,13579,1200000,9000000,"1,200,000","9,000,000",6033702.970297029,45252772.27722772,"6,033,702","45,252,772"
tt0077248,Blue Collar,1978,114,7.5,11485,1700000,6521083,"1,700,000","6,521,083",7944684.049079754,30475261.231073618,"7,944,684","30,475,261"
tt0077269,The Boys from Brazil,1978,125,7.0,32048,12000000,19000000,"12,000,000","19,000,000",56080122.6993865,88793527.60736196,"56,080,122","88,793,527"
tt0077278,Buck Rogers in the 25th Century,1979,89,6.5,7218,3500000,21700000,"3,500,000","21,700,000",14689490.358126722,91074840.22038569,"14,689,490","91,074,840"
tt0077294,Capricorn One,1977,123,6.8,25980,5000000,12000000,"5,000,000","12,000,000",25140429.04290429,60337029.702970296,"25,140,429","60,337,029"
tt0077369,Convoy,1978,110,6.3,19805,12000000,45000000,"12,000,000","45,000,000",56080122.6993865,210300460.12269938,"56,080,122","210,300,460"
tt0077402,Dawn of the Dead,1978,127,7.8,132309,650000,55000000,"650,000","55,000,000",3037673.3128834353,257033895.70552146,"3,037,673","257,033,895"
tt0077413,Death on the Nile,1978,140,7.3,41993,7920000,14560084,"7,920,000","14,560,084",37012880.98159509,68044274.76944786,"37,012,880","68,044,274"
tt0077416,The Deer Hunter,1978,183,8.1,373457,15000000,49000000,"15,000,000","49,000,000",70100153.37423313,228993834.35582823,"70,100,153","228,993,834"
tt0077474,The Driver,1978,91,7.1,20420,4000000,4900000,"4,000,000","4,900,000",18693374.233128835,22899383.43558282,"18,693,374","22,899,383"
tt0077504,The End,1978,100,6.1,4558,3000000,45000000,"3,000,000","45,000,000",14020030.674846625,210300460.12269938,"14,020,030","210,300,460"
tt0077530,Eyes of Laura Mars,1978,104,6.2,12923,7000000,20000000,"7,000,000","20,000,000",32713404.907975458,93466871.16564417,"32,713,404","93,466,871"
